Course Code,Description,Start Date,End Date,Start Time,End Time,Day of Week,Hours,Weeks,Total Hours,Programme Area,Study Location,Address,Postcode,Latitude,Longitude,Level,Venue,Full Fee,Early Enrolment Fee,Year,Month
EN00017,Makeup: Asian Glamour,15/01/2020,15/01/2020,18:00:00,20:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,January
EN00018,Makeup: Asian Glamour,17/01/2020,17/01/2020,10:00:00,12:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,January
EN00019,Daytime Makeup ,29/01/2020,29/01/2020,18:00:00,20:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,January
EN00020,Daytime Makeup ,31/01/2020,31/01/2020,10:00:00,12:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,January
EN00021,Makeup: The Look of Love - Valentines Special,02/12/2020,12/02/2020,18:00:00,20:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,December
EN00022,Makeup: The Look of Love - Valentines Special,14/02/2020,14/02/2020,10:00:00,12:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,February
EN00023,Special Occasion/Glamorous Makeup ,26/02/2020,26/02/2020,18:00:00,20:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,February
EN00024,Special Occasion/Glamorous Makeup ,28/02/2020,28/02/2020,10:00:00,12:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,February
EN00025,Bridal/Guest Makeup,03/11/2020,11/03/2020,18:00:00,20:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,November
EN00026,Bridal/Guest Makeup,13/03/2020,13/03/2020,10:00:00,12:03:00,,,1,2.5,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Workshop,Heath (CAL),19.5,15.6,2020,March
